,Rank,Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2
111,112,옥수역귀,2023-04-19,2744049700,0.001,2744049700,256520,256520,314,13683,한국,"한국,일본",(주)영화사조아,(주)스마일이엔티,15세이상관람가,정용기,30.0,0.0,김보라,서제광,김재현,공포(호러),미스터리
112,113,아임 히어로 더 파이널,2023-03-01,6059713000,0.002,6059713000,250702,250702,146,8897,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,오윤동,3.0,1.0,임영,,,공연,다큐멘터리
113,114,DC 리그 오브 슈퍼-펫,2022-08-10,2322641159,0.001,2322641159,248798,248798,585,13069,미국,미국,,워너브러더스 코리아(주),전체관람가,"자레드 스턴,샘 레빈",1170.0,,드웨인 존슨,케빈 하트,키아누 리브스,애니메이션,액션
114,115,포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,2237957275,0.001,4479845275,242111,580119,587,10331,일본,일본,,"(주)넥스트엔터테인먼트월드(NEW),실버스푼",전체관람가,유야마 쿠니히코,180.0,,오오타니 이쿠에,,,애니메이션,어드벤처
115,116,데드맨,2024-02-07,2272468704,0.001,2272468704,238235,238235,800,19490,한국,한국,"(주)팔레트픽처스,(주)사람엔터테인먼트",플러스 엔터테인먼트,15세이상관람가,하준원,75.0,0.0,조진웅,김희애,이수경,범죄,
116,117,소울메이트,2023-03-15,2268860069,0.001,2268860069,234885,234885,749,28271,한국,한국,"클라이맥스 스튜디오(주),(주)앤드마크,(주)스튜디오앤뉴,(주)키이스트",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,민용근,45.0,0.0,김다미,전소니,변우석,드라마,
117,118,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,2160350817,0.001,2160350817,231236,231236,790,12769,한국,한국,"(주)초이락컨텐츠컴퍼니,스튜디오더블유바바(주)",롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"최신규,이슬기,정승원",10.0,1.0,이지현,조경이,김용준,애니메이션,
118,119,메간,2023-01-25,2331686898,0.001,2331686898,230874,230874,704,21067,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,제라드 존스톤,156.0,,앨리슨 윌리암스,바이올렛 맥그로우,,공포(호러),스릴러
119,120,아바타 리마스터링,2022-09-21,3895090540,0.002,3895090540,230712,230712,285,9881,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,제임스 카메,5200.0,,샘 워싱턴,조 샐다나,시고니 위버,SF,어드벤처
120,121,나폴레옹,2023-12-06,2261510673,0.001,2261510673,227978,227978,822,18114,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,리들리 스콧,1690.0,,호아킨 피닉스,바네사 커비,,전쟁,드라마
121,122, 틀맨,2022-12-28,2117151503,0.001,2117151503,224718,224718,751,16008,한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스 엔터테인먼트,15세이상관람가,김경원,50.0,0.0,윤호림,정혜자,주지훈,범죄,
122,123,극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,1953049000,0.001,1953049000,216905,216905,380,9917,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,박영,10.0,0.0,이선,이미자,김현지,애니메이션,
123,124,바빌,2023-02-01,2150176805,0.001,2150176805,213635,213635,852,21533,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,데이미언 셔젤,1040.0,,브래드 피트,마 로비,디에 칼바,드라마,
124,125,스턴트맨,2024-05-01,2144864285,0.001,2144864285,210404,210404,801,16698,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,데이빗 레이치,1625.0,,라이언 고슬링,에밀리 블런트,애 테일러 존슨,액션,코미디
125,126,원피스 필름 레드,2022-11-30,2196993724,0.001,2196993724,206770,206770,550,15540,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,타니구치 고로,200.0,,,,,애니메이션,
126,127,베니스 유령 살인사건,2023-09-13,2004013347,0.001,2004013347,205102,205102,876,27978,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,케네스 브래너,780.0,,케네스 브래너,양자경,제이미 도넌,범죄,미스터리
127,128,극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2125043257,0.001,2125043257,203932,203932,1212,7523,일본,일본,,"(주)넥스트엔터테인먼트월드(NEW),씨제이 씨지브이(CJ CGV)(주)",전체관람가,미츠나카 스스무,30.0,,무라세 아유무,이시카와 카이토,카지 유우키,애니메이션,
128,129,브레드이발소: 셀럽 인 베이커리타운,2024-03-01,1721458580,0.001,1721458580,201130,201130,342,8109,한국,한국,㈜브레드이발소,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,정지환,10.0,0.0,엄상현,박윤희,강시현,애니메이션,
129,130,멍뭉이,2023-03-01,1832643386,0.001,1832643386,196529,196529,649,15443,한국,한국,"(주)와이웍스엔터테인먼트,(주)돈키호테엔터테인먼트",(주)키다리스튜디오,전체관람가,김주환,30.0,0.0,유연석,차태현,,드라마,
130,131,킬링 로맨스,2023-04-14,1833415642,0.001,1833415642,191650,191650,998,26101,한국,한국,"(주)영화사 이창,쇼트케이크(주)",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,이원석,76.0,0.0,이상진,이하늬,이선균,코미디,
131,132,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,1811452126,0.001,1811452126,185507,185507,986,19755,미국,미국,,(주)누리픽쳐스,15세이상관람가,프란시스 로렌스,1300.0,,레이첼 지글러,톰 블라이스,헌터 샤퍼,액션,어드벤처
132,133,오멘: 저주의 시작,2024-04-03,1859296182,0.001,1859296182,180695,180695,644,16507,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,아르카샤 스티븐슨,390.0,,넬 타이거 프리,타우픽 바롬,소냐 브라가,공포(호러),
133,134,오펀: 천사의 탄생,2022-10-12,1808746476,0.001,1808746476,177880,177880,707,20180,미국,미국,,메가박스중앙(주),15세이상관람가,윌리엄 브렌트 벨,130.0,,이사벨 퍼만,줄리아 스타일즈,로지프 서덜랜드,공포(호러),스릴러
134,135,극장판 엄마 까투리: 도시로 간 까투리 가족,2022-09-08,1609124999,0.001,1609124999,173896,173896,616,9459,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,정길훈,10.0,0.0,김서영,이윤희,김은아,애니메이션,
135,136,퍼피 구조대: 더 마이티 무비,2023-10-06,1566183076,0.001,1566183076,172545,172545,566,9675,미국,미국,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,캘런 브런커,2.6,,정선혜,박지윤,신용우,애니메이션,어드벤처
136,137,플라워 킬링 문,2023-10-19,1588789082,0.001,1588789082,167914,167914,719,14605,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,마틴 스코세이지,2600.0,,레오나르도 디카프리오,로버트 드 니로,,범죄,드라마
137,138,가문의 영광: 리턴즈,2023-09-21,1608459160,0.001,1608459160,167878,167878,823,20003,한국,한국,(주)태원엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"정태원,정용기",40.0,0.0,윤현민,유라,김수미,코미디,
138,139,마루이 비디오,2023-02-22,1705521500,0.001,1705521500,165892,165892,284,8962,한국,한국,"(주)발포플랜,(주)브라더픽처스","씨제이 씨지브이(CJ CGV)(주),(주)케이티알파",15세이상관람가,윤준형,30.0,0.0,서현우,조민경,임한성,미스터리,공포(호러)
139,140,"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,1360143962,0.001,1360143962,154409,154409,710,9212,일본,일본,,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,유야마 쿠니히코,150.0,,,,,애니메이션,
140,141,그녀가 죽었다,2024-05-15,1406190761,0.001,1406190761,148831,148831,898,6409,한국,한국,엔진 필름,"(주)콘텐츠지오,(주)아티스트스튜디오,(주)무빙픽쳐스컴퍼니",15세이상관람가,김세휘,70.0,0.0,변요한,신혜선,이엘,미스터리,스릴러
141,142,불릿 트레인,2022-08-24,1554615073,0.001,1554615073,143620,143620,904,19957,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가,데이빗 레이치,1116.7,,브래드 피트,조이 킹,애 테일러 존슨,액션,
142,143,눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,2022-12-22,1301016791,0.001,1301016791,141354,141354,626,6835,기타,기타,,메가박스중앙(주),전체관람가,알렉세이 트시칠린,20.0,,,,,애니메이션,
143,144,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,2023-09-28,1278771994,0.001,1278771994,141025,141025,601,8252,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),전체관람가,,10.0,,,,,애니메이션,
144,145,아가일,2024-02-07,1442627957,0.001,1442627957,140533,140533,841,15934,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,매튜 본,2600.0,,헨리 카빌,브라이스 달라스 하워드,샘 록웰,액션,코미디
145,146,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,1192070958,0.0,1192070958,135976,135976,407,6202,한국,한국,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW),전체관람가,정길훈,20.0,0.0,문남숙,장은숙,최보배,애니메이션,
146,147,보호자,2023-08-15,1238963700,0.0,1238963700,128534,128534,685,11004,한국,한국,(주)영화사테이크,(주)에이스메이커무비웍스,15세이상관람가,정우성,80.0,0.0,정우성,김남길,김준한,액션,드라마
147,148,패스트 라이브즈,2024-03-06,1176859399,0.0,1176859399,126402,126402,613,15739,미국,미국,,(주)씨제이이엔,12세이상관람가,셀린 송,65.0,,그레타 리,유태오,존 마가로,드라마,
148,149,두다다쿵: 후후섬의 비밀,2023-02-15,1136395650,0.0,1136395650,125978,125978,514,8549,한국,한국,아이스크림 스튜디오(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,"최병선,김지윤",10.0,0.0,,,,애니메이션,
149,150,메가로돈 2,2023-08-15,1314843169,0.001,1314843169,125935,125935,415,7812,미국,미국,,워너브러더스 코리아(주),12세이상관람가,벤 휘틀리,1677.0,,제이슨 스타뎀,오경,,액션,
150,151,너의 이름은.,2017-01-04,1226263445,0.0,31845678991,121918,3914563,101,4838,일본,일본,,플러스 엔터테인먼트,12세이상관람가,신카이 마코,37.0,,카미키 류노스케,카미시라이시 모네,나가사와 마사미,애니메이션,드라마
151,152,그란 투리스모,2023-09-20,1200410739,0.0,1200410739,120125,120125,883,17744,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,,780.0,,,,,액션,
152,153,말하 싶은 비밀,2023-12-13,1121475015,0.0,1121475015,118928,118928,401,7788,일본,일본,,"(주)바이포엠스튜디오,홀리가",전체관람가,,30.0,,사쿠라다 히요리,,,멜로/로맨스,
153,154,스트레인지 월드,2022-11-23,968821831,0.0,968821831,112910,112910,699,8463,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"돈 홀,퀴 응우옌",1560.0,,제이크 질렌할,데니스 퀘이드,자부키 영-화이트,애니메이션,
154,155,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,1141910984,0.0,1141910984,111591,111591,234,8676,미국,미국,,워터홀컴퍼니(주),15세이상관람가,"다니엘 콴,다니엘 쉐이너트",185.9,,양자경,스테파니 수,키 호이 콴,액션,코미디
155,156,캐리와 슈퍼콜라,2023-01-18,1028263819,0.0,1028263819,111366,111366,474,6708,한국,한국,(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,"오성윤,이춘백",10.0,0.0,최정윤,엄상현,이다은,애니메이션,
156,157,에어,2023-04-05,1063344581,0.0,1063344581,110310,110310,656,16487,미국,미국,,워너브러더스 코리아(주),15세이상관람가,벤 애플렉,910.0,,맷 데이먼,벤 애플렉,제이슨 베이트먼,드라마,
157,158,가필드 더 무비,2024-05-15,985693556,0.0,985693556,109442,109442,852,3294,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가,마크 딘달,780.0,,크리스 프랫,사무엘 L. 잭슨,니콜라스 홀트,애니메이션,
158,159,블랙폰,2022-09-07,1085449042,0.0,1085449042,107715,107715,495,10809,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,스콧 데릭슨,221.0,,에단 호크,메이슨 테임즈,매들린 맥그로,공포(호러),
159,160,스마일,2022-10-06,1124306658,0.0,1124306658,105651,105651,455,7659,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,파커 핀,221.0,,소지 베이컨,제시 어셔,카일 갈너,미스터리,공포(호러)
160,161,뉴 노멀,2023-11-08,987958873,0.0,987958873,103037,103037,546,10934,한국,한국,언파스튜디오,(주)바이포엠스튜디오,15세이상관람가,정범식,38.0,0.0,최지우,이유미,최민호,스릴러,드라마
161,162,비키퍼,2024-04-03,962290905,0.0,962290905,102969,102969,713,13022,미국,미국,,(주)바른손이앤에이,청소년관람불가,데이비드 에이어,520.0,,제이슨 스타뎀,조쉬 허처슨,제레미 아이언스,액션,스릴러
162,163,엘비스,2022-07-13,1098745318,0.0,1098745318,101522,101522,665,10094,미국,미국,,워너브러더스 코리아(주),15세이상관람가,바즈 루어만,1105.0,,오스틴 버틀러,톰 행크스,올리비아 데,드라마,
