,Rank,Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2
35,36,쿵푸팬더4,2024-04-10,16455624250,0.0069999999999999,16455624250,1762061,1762061,2311,102691,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,"마이크 미첼,스테파니 스티네",1105.0,,잭 블랙,아콰피나,비올라 데이비스,애니메이션,액션
36,37,교섭,2023-01-18,17460908740,0.0069999999999999,17460908740,1721100,1721100,1289,92618,한국,한국,"(주)영화사수박,원테이크필름",플러스 엔터테인먼트,12세이상관람가,임순례,150.0,0.0,황정민,도기범,현빈,드라마,
37,38,시민덕희,2024-01-24,16119497097,0.006,16119497097,1707227,1707227,1281,96204,한국,한국,"(주)씨제스엔터테인먼트,페이지원필름(주)",(주)쇼박스,15세이상관람가,박영주,65.0,1.0,라미란,공명,염혜란,드라마,
38,39,앤트맨과 와스프: 퀀텀매니아,2023-02-15,16346738806,0.0069999999999999,16346738806,1551129,1551129,2090,104768,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,페이튼 리드,1690.0,,폴 러드,에반젤린 릴리,미셀 파이퍼,액션,
39,40,외계+인 1부,2022-07-20,16009890548,0.006,16009890548,1541020,1541020,1959,68420,한국,한국,(주)케이퍼필름,(주)씨제이이엔,12세이상관람가,최동훈,360.0,0.0,류준열,김우빈,김태리,액션,판타지
40,41,,2023-09-06,13894258933,0.006,13894258933,1470359,1470359,1231,103697,한국,한국,(주)루이스 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,유재,50.0,1.0,정유미,이선균,김금순,미스터리,
41,42,외계+인 2부,2024-01-10,13792326337,0.006,13792326337,1430121,1430121,1390,97872,한국,한국,(주)케이퍼필름,(주)씨제이이엔,12세이상관람가,최동훈,340.0,0.0,류준열,김태리,김우빈,기타,
42,43,위시,2024-01-03,13390807253,0.005,13390807253,1404568,1404568,1421,88438,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"크리스 벅,폰 비라선손",2600.0,,아리아나 데보스,크리스 파인,알란 터딕,애니메이션,
43,44,달짝지근해: 7510,2023-08-15,13445519901,0.005,13445519901,1388309,1388309,1032,86601,한국,한국,(주)무비락,(주)마인드마크,12세이상관람가,이한,65.0,1.0,유해진,김희선,차인표,코미디,
44,45,브로커,2022-06-08,12587208030,0.005,12587208030,1261258,1261258,1594,66210,한국,한국,영화사 집,(주)씨제이이엔,12세이상관람가,고레에다 히로카즈,90.0,0.0,송강호,강동원,배두나,드라마,
45,46,건국전쟁,2024-02-01,10902106514,0.004,10902106514,1173329,1173329,956,49138,한국,한국,다큐스토리,다큐스토리,12세이상관람가,김덕영,3.0,1.0,,,,다큐멘터리,
46,47,인생은 아름다워,2022-09-28,10905112019,0.004,10905112019,1172587,1172587,1285,106986,한국,한국,더램프(주),롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,최국희,117.0,0.0,김동국,류승룡,염정아,뮤지컬,
47,48,드림,2023-04-26,10821044597,0.004,10821044597,1128375,1128375,1285,61737,한국,한국,"(주)옥토버시네마,(주)노브레이크필름",플러스 엔터테인먼트,12세이상관람가,이병헌,139.0,0.0,박서준,아이유,김종수,코미디,드라마
