Movie,Date,Total Sales,Sales Share,Cumulative Sales,Total Attendance,Cumulative Attendance,Screen Count,Show Count,Country,Production Country,Production Company,Distributor,Level,Director,Production Budgets,Success,actor1,actor2,actor3,genre1,genre2,rating,sentiment,YearMonth,남자 인구수,여자 인구수,총인구수,가계지출,소비지출,비소비지출,ViewCount,LikeCount,Actor1,Actor2,Actor3,Month,GENRE1,GENRE2
아바타 리마스터링,2022-09-21,3895090540,0.002,3895090540,230712,230712,285,9881,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,제임스 카메,5200.0,1.0,샘 워싱턴,조 샐다나,시고니 위버,SF,어드벤처,3.9,54.0,2022.09,25653998.0,25812660.0,51466658.0,2097.0,1696.0,401.0,395596.0,486.0,5517888.5,5081675.7,5517888.5,9,0.2,0.06
나폴레옹,2023-12-06,2261510673,0.001,2261510673,227978,227978,822,18114,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,리들리 스콧,1690.0,0.0,호아킨 피닉스,바네사 커비,,전쟁,드라마,3.71,63.91,2023.12,25565736.0,25759593.0,51325329.0,2301.0,1884.0,417.0,1568310.0,2403.0,227978.0,227978.0,,12,1.0,0.08
젠틀맨,2022-12-28,2117151503,0.001,2117151503,224718,224718,751,16008,한국,한국,"(주)트릭스터,주식회사 에이치앤드엔터테인먼트",플러스 엔터테인먼트,15세이상관람가,김경원,50.0,0.0,윤호림,정혜자,주지훈,범죄,,3.1,30.0,2022.12,25636951.0,25802087.0,51439038.0,2169.0,1802.0,367.0,52321.0,420.0,6676369.0,224718.0,641731.5,12,0.08,
극장판 뽀로로와 친구들: 바이러스를 없애줘!,2022-12-01,1953049000,0.001,1953049000,216905,216905,380,9917,한국,한국,(주)오콘,(주)넥스트엔터테인먼트월드(NEW),전체관람가,박영,10.0,0.0,이선,이미자,김현지,애니메이션,,3.9,49.5,2022.12,25636951.0,25802087.0,51439038.0,2169.0,1802.0,367.0,1040006.0,666.0,351844.0,351844.0,334020.5,12,0.17,
바빌,2023-02-01,2150176805,0.001,2150176805,213635,213635,852,21533,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,청소년관람불가,데이미언 셔젤,1040.0,0.0,브래드 피트,마 로비,디에 칼바,드라마,,4.0,89.0,2023.02,25626211.0,25795268.0,51421479.0,1788.0,1500.0,288.0,620168.0,1027.0,178627.5,400003.0,213635.0,2,0.08,
스턴트맨,2024-05-01,2144864285,0.001,2144864285,210404,210404,801,16698,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,데이빗 레이치,1625.0,0.0,라이언 고슬링,에밀리 블런트,애 테일러 존슨,액션,코미디,3.34,65.9,2024.05,25536793.0,25740554.0,51277347.0,,,,78419.0,893.0,398387.5,1724098.5,177012.0,5,0.13,0.07
원피스 필름 레드,2022-11-30,2196993724,0.001,2196993724,206770,206770,550,15540,일본,일본,,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,타니구치 고로,200.0,1.0,,,,애니메이션,,3.02,52.22,2022.11,25643889.0,25806940.0,51450829.0,2127.0,1800.0,327.0,401917.0,3288.0,,,,11,0.05,
베니스 유령 살인사건,2023-09-13,2004013347,0.001,2004013347,205102,205102,876,27978,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,케네스 브래너,780.0,0.0,케네스 브래너,양자경,제이미 도넌,범죄,미스터리,3.02,50.8,2023.09,25592335.0,25777666.0,51370001.0,2117.0,1772.0,345.0,214855.0,371.0,205102.0,158346.5,205102.0,9,0.17,0.2
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,2125043257,0.001,2125043257,203932,203932,1212,7523,일본,일본,,"(주)넥스트엔터테인먼트월드(NEW),씨제이 씨지브이(CJ CGV)(주)",전체관람가,미츠나카 스스무,30.0,1.0,무라세 아유무,이시카와 카이토,카지 유우키,애니메이션,,3.9,51.12,2024.05,25536793.0,25740554.0,51277347.0,,,,431225.0,1994.0,203932.0,203932.0,203932.0,5,0.1,
브레드이발소: 셀럽 인 베이커리타운,2024-03-01,1721458580,0.001,1721458580,201130,201130,342,8109,한국,한국,㈜브레드이발소,롯데컬처웍스(주)롯데엔터테인먼트,전체관람가,정지환,10.0,0.0,엄상현,박윤희,강시현,애니메이션,,3.1,64.5,2024.03,25547370.0,25746564.0,51293934.0,,,,10187.0,79.0,156248.0,201130.0,201130.0,3,0.07,
