title,date
Drop In Domestic Oil Production Predicted. ,1987-02-26
Oil Futures Sink Below $17 A Barrel. ,1987-02-25
Crude Oil Offers Five Options. ,1987-02-02
Schenectady Gazette ,1987-02-12
"Oil Slide Temporary, Analysts Predicting. ",1987-02-27
Gasoline Prices Expected To Begin Falling In May. ,1987-03-01
Point Pleasant Register ,1987-02-18
Oil Production Slide To Continue. ,1987-02-26
Oil Hikes Cause Wholesale Price Jump. ,1987-02-13
Oil Prices Slide Again To $16 A Barrel Range. ,1987-02-26
Toledo Blade ,1987-02-22
Us Study Foresees New Oil-Import Crisis In 1990s. ,1987-02-24
Oil Prices Slump Over Worries On Opec Accord. I. Mont ,1987-02-24
Opec's Campaign For Higher Prices Boosted By Aramco Deal ,1987-02-05
"Worst Is Over For Refineries, Says Expert. ",1987-02-22
Oil And Gas Funds Again Producing. ,1987-02-24
Slipping Back Into Oily Trap. ,1987-02-10
Texaco Announces Net Income For 1986 Declined 84 Percent,1987-02-27
Opec Postpones Talks Amid Price Problems. ,1987-02-21
Centre Concerned Over Stir Against Refinery. ,1987-02-02
Home Sales Plunge At Record Pace. ,1987-02-26
In Washington How Education And Oil Mix. ,1987-02-12
Factory Orders Plunge. ,1987-02-26
Us Oil Futures Prices To Go Even Lower Rast Tacts. ,1987-02-26
Oil Prices Decline To Lowest Recent Levels. ,1987-02-26
"Esso, Bhp Want Tax Cut. ",1987-02-19
Kuwait Warns To Buy At Opec's Set Prices. ,1987-02-23
Anthony Harrigan Us. Relying More On Foreign Oil. ,1987-02-03
Wholesale Prices Show Largest Rise Since 85. ,1987-02-12
New Us. Oil Crisis Feared In 90s. ,1987-02-23
Decline In Oil Prices Reflects A Market Glut. ,1987-02-26
2 Refineries Will Halt Operations. ,1987-02-05
Buying Saudioil At A Fixed Price. ,1987-02-05
"Oil Prices Continue Tumble, Fall To Lowest Level In 1987. ",1987-02-26
Prices Slide To Lowest Level . ,1987-02-26
Oil Prices Slide Toward $16 A Barrel; Opec Wavering. ,1987-02-26
People Will Be Sitting In Gas Lines A. ,1987-02-21
'Oil Patch9 Slump May Spell Crisis. ,1987-02-06
Analysts Warn That Us. May Be Hit By Severe Oil Shortage. ,1987-02-17
Oil Futures Take Technical Downturn. ,1987-02-12
Opec Cheats Force Oil Lower. ,1987-02-27
Exemption Urged For Small Oil Weils. ,1987-02-04
Oil Prices Tumble. ,1987-02-26
Oil Prices Stay Below Opec Target. ,1987-02-26
Falling Oil Prices Dip Into ,1987-02-26
Manila Standard ,1987-02-24
Earnings Said Down 68 Percent. ,1987-02-03
Three Rivers Man Injured In Accident. ,1987-02-08
Make Jump. ,1987-02-13
Group Says $10 A Barrel Oil Tariff Might Cost $100 Billion A ... ,1987-02-16
Remember The Long Lines? ,1987-02-15
"Oil Prices Drop, Reflect Market Glut, Refusal To Purchase ... ",1987-02-26
